Timestamp,Temperature,Humidity,AirQuality,Dust,Source,Temp_Hum_Index,Air_Dust_Product,AirQuality_Log,Dust_Log,Air_Dust_Ratio,Anomaly,Norm_Air,Norm_Dust,Norm_Product,Kitchen_Penalty,Weighted_Score,AI_Score,AI_Category
55802,28.0,82.0,190.9,116.0,outdoor,22.96,22144.4,5.256974403013654,4.762173934797756,1.6316239316239316,-1,0.07636,0.464,0.035431040000000004,0.0,0.22404745599999998,89.5,GOOD
60802,28.0,82.0,186.5,116.3,outdoor,22.96,21689.95,5.233778845410465,4.76473475565943,1.5899403239556693,-1,0.0746,0.4652,0.03470392,0.0,0.223357588,89.2,GOOD
65802,28.0,83.0,289.8,116.0,outdoor,23.24,33616.8,5.672635745659364,4.762173934797756,2.476923076923077,-1,0.11592000000000001,0.464,0.05378688,0.0,0.24578963200000004,99.6,GOOD
70802,28.0,83.0,244.4,116.0,outdoor,23.24,28350.4,5.502889532276811,4.762173934797756,2.088888888888889,-1,0.09776,0.464,0.04536064,0.0,0.235808896,94.9,GOOD
75802,28.0,83.0,218.9,116.3,outdoor,23.24,25458.07,5.393172897560715,4.76473475565943,1.86615515771526,-1,0.08756,0.4652,0.040732911999999996,0.0,0.23048273679999998,92.5,GOOD
80802,28.0,83.0,204.5,116.4,outdoor,23.24,23803.800000000003,5.32544603393629,4.765586907393996,1.74190800681431,-1,0.0818,0.4656,0.03808608,0.0,0.22740891200000002,91.1,GOOD
85802,27.6,85.0,218.9,116.3,outdoor,23.46,25458.07,5.393172897560715,4.76473475565943,1.86615515771526,-1,0.08756,0.4652,0.040732911999999996,0.0,0.23048273679999998,92.5,GOOD
90802,27.6,85.0,218.9,116.5,outdoor,23.46,25501.85,5.393172897560715,4.7664383335842135,1.862978723404256,-1,0.08756,0.466,0.040802960000000006,0.0,0.230669244,92.6,GOOD
95802,27.6,85.0,214.0,116.1,outdoor,23.46,24845.4,5.3706380281276624,4.763028270603671,1.827497865072588,-1,0.0856,0.4644,0.03975264,0.0,0.229218896,91.9,GOOD
100802,27.6,85.0,157.8,116.1,outdoor,23.46,18320.58,5.067645548813036,4.763028270603671,1.347566182749787,-1,0.06312000000000001,0.4644,0.029312928000000002,0.0,0.21686253919999998,86.2,GOOD
105802,27.6,85.0,204.5,116.3,outdoor,23.46,23783.35,5.32544603393629,4.76473475565943,1.7433930093776642,1,0.0818,0.4652,0.038053359999999994,0.0,0.147316004,55.3,GOOD
110802,27.6,85.0,209.2,116.7,outdoor,23.46,24413.64,5.348059458442851,4.768139014266231,1.7774001699235342,-1,0.08367999999999999,0.4668,0.039061824,0.0,0.2287216736,91.7,GOOD
115802,27.6,85.0,204.5,116.4,outdoor,23.46,23803.800000000003,5.32544603393629,4.765586907393996,1.74190800681431,1,0.0818,0.4656,0.03808608,0.0,0.147408912,55.3,GOOD
120802,27.6,85.0,190.9,116.2,outdoor,23.46,22182.58,5.256974403013654,4.763881877142913,1.628839590443686,1,0.07636,0.4648,0.035492128000000005,0.0,0.1442326192,53.9,GOOD
125802,27.6,86.0,182.2,116.6,outdoor,23.736,21244.52,5.21057845224003,4.767289035464526,1.5493197278911564,1,0.07288,0.4664,0.033991231999999996,0.0,0.1426890848,53.3,GOOD
130802,27.6,86.0,190.9,116.4,outdoor,23.736,22220.76,5.256974403013654,4.765586907393996,1.6260647359454854,1,0.07636,0.4656,0.035553216000000006,0.0,0.1444177824,54.0,GOOD
135802,27.4,86.0,218.9,116.4,outdoor,23.564,25479.960000000003,5.393172897560715,4.765586907393996,1.864565587734242,-1,0.08756,0.4656,0.040767936000000005,0.0,0.23057599039999999,92.5,GOOD
140802,27.2,86.0,173.8,116.1,outdoor,23.392,20178.18,5.163642463221435,4.763028270603671,1.484201537147737,-1,0.06952,0.4644,0.032285088,0.0,0.22038036319999998,87.8,GOOD
145802,27.1,86.0,199.9,116.1,outdoor,23.306,23208.39,5.302807271820889,4.763028270603671,1.707087959009394,-1,0.07996,0.4644,0.037133424,0.0,0.22611881360000002,90.5,GOOD
150802,27.1,87.0,182.2,116.2,outdoor,23.577,21171.64,5.21057845224003,4.763881877142913,1.5546075085324231,1,0.07288,0.4648,0.033874624,0.0,0.1423195936,53.1,GOOD
155802,27.1,87.0,190.9,116.2,outdoor,23.577,22182.58,5.256974403013654,4.763881877142913,1.628839590443686,1,0.07636,0.4648,0.035492128000000005,0.0,0.1442326192,53.9,GOOD
160802,27.1,87.0,199.9,116.4,outdoor,23.577,23268.36,5.302807271820889,4.765586907393996,1.702725724020443,1,0.07996,0.4656,0.037229376,0.0,0.1463972064,54.9,GOOD
165802,27.1,88.0,204.5,116.4,outdoor,23.848000000000003,23803.800000000003,5.32544603393629,4.765586907393996,1.74190800681431,1,0.0818,0.4656,0.03808608,0.0,0.147408912,55.3,GOOD
170802,27.1,88.0,173.8,116.5,outdoor,23.848000000000003,20247.7,5.163642463221435,4.7664383335842135,1.4791489361702128,1,0.06952,0.466,0.03239632,0.0,0.140749048,52.4,GOOD
175802,27.1,88.0,178.0,116.3,outdoor,23.848000000000003,20701.4,5.187385805840755,4.76473475565943,1.5174765558397272,1,0.0712,0.4652,0.03312224,0.0,0.141488336,52.8,GOOD
180802,27.1,88.0,199.9,116.4,outdoor,23.848000000000003,23268.36,5.302807271820889,4.765586907393996,1.702725724020443,1,0.07996,0.4656,0.037229376,0.0,0.1463972064,54.9,GOOD
185802,27.1,88.0,186.5,116.1,outdoor,23.848000000000003,21652.65,5.233778845410465,4.763028270603671,1.5926558497011103,1,0.0746,0.4644,0.03464424,0.0,0.143172636,53.5,GOOD
190802,27.1,88.0,178.0,116.3,outdoor,23.848000000000003,20701.4,5.187385805840755,4.76473475565943,1.5174765558397272,1,0.0712,0.4652,0.03312224,0.0,0.141488336,52.8,GOOD
195802,27.1,88.0,173.8,116.4,outdoor,23.848000000000003,20230.320000000003,5.163642463221435,4.765586907393996,1.4804088586030664,1,0.06952,0.4656,0.032368512,0.0,0.14065687680000002,52.4,GOOD
200802,27.1,88.0,178.0,116.4,outdoor,23.848000000000003,20719.2,5.187385805840755,4.765586907393996,1.5161839863713795,1,0.0712,0.4656,0.03315072,0.0,0.141580608,52.8,GOOD
205802,27.1,89.0,178.0,116.7,outdoor,24.119,20772.6,5.187385805840755,4.768139014266231,1.5123194562446898,1,0.0712,0.4668,0.03323616,0.0,0.14185742399999998,52.9,GOOD
210802,27.1,89.0,173.8,117.4,outdoor,24.119,20404.120000000003,5.163642463221435,4.774068722449905,1.4679054054054057,1,0.06952,0.4696,0.032646592,0.0,0.14157858880000002,52.8,GOOD
215802,27.1,89.0,190.9,116.3,outdoor,24.119,22201.67,5.256974403013654,4.76473475565943,1.6274509803921569,1,0.07636,0.4652,0.035522672000000005,0.0,0.1443252008,54.0,GOOD
220802,27.1,89.0,186.5,116.3,outdoor,24.119,21689.95,5.233778845410465,4.76473475565943,1.5899403239556693,1,0.0746,0.4652,0.03470392,0.0,0.143357588,53.6,GOOD
225802,27.1,89.0,154.0,115.8,outdoor,24.119,17833.2,5.043425116919247,4.760463070394127,1.3184931506849316,1,0.0616,0.4632,0.028533120000000002,0.0,0.135751968,50.3,GOOD
230802,27.1,89.0,190.9,115.7,outdoor,24.119,22087.13,5.256974403013654,4.75960653929251,1.6358183376178237,1,0.07636,0.4628,0.035339408,0.0,0.1437697112,53.7,GOOD
235802,27.1,89.0,173.8,116.0,outdoor,24.119,20160.800000000003,5.163642463221435,4.762173934797756,1.4854700854700855,1,0.06952,0.464,0.032257280000000006,0.0,0.140288192,52.2,GOOD
240802,27.1,89.0,161.7,115.7,outdoor,24.119,18708.69,5.091908014224992,4.75960653929251,1.3856041131105397,1,0.06468,0.4628,0.029933903999999997,0.0,0.1373524856,51.0,GOOD
245802,27.1,89.0,178.0,115.8,outdoor,24.119,20612.4,5.187385805840755,4.760463070394127,1.523972602739726,1,0.0712,0.4632,0.032979839999999996,0.0,0.14102697599999997,52.6,GOOD
250802,27.1,89.0,161.7,116.0,outdoor,24.119,18757.2,5.091908014224992,4.762173934797756,1.382051282051282,1,0.06468,0.464,0.030011519999999996,0.0,0.13762812800000002,51.1,GOOD
255802,27.1,89.0,161.7,115.8,outdoor,24.119,18724.86,5.091908014224992,4.760463070394127,1.384417808219178,1,0.06468,0.4632,0.029959775999999994,0.0,0.1374443664,51.0,GOOD
260802,27.1,89.0,161.7,115.9,outdoor,24.119,18741.03,5.091908014224992,4.761318868478023,1.3832335329341316,1,0.06468,0.4636,0.029985647999999997,0.0,0.1375362472,51.1,GOOD
265802,27.1,89.0,178.0,116.4,outdoor,24.119,20719.2,5.187385805840755,4.765586907393996,1.5161839863713795,1,0.0712,0.4656,0.03315072,0.0,0.141580608,52.8,GOOD
